/bin/sh build-scripts/mkinstalldirs build
mkdir -p -- build
  CC     build/SDL_timer.lo
  CC     build/SDL_RLEaccel.lo
  CC     build/SDL_blit.lo
  CC     build/SDL_blit_0.lo
  CC     build/SDL_blit_1.lo
  CC     build/SDL_blit_A.lo
  CC     build/SDL_blit_N.lo
  CC     build/SDL_blit_auto.lo
  CC     build/SDL_blit_copy.lo
  CC     build/SDL_blit_slow.lo
  CC     build/SDL_bmp.lo
  CC     build/SDL_clipboard.lo
  CC     build/SDL_egl.lo
  CC     build/SDL_fillrect.lo
  CC     build/SDL_pixels.lo
  CC     build/SDL_rect.lo
  CC     build/SDL_shape.lo
  CC     build/SDL_stretch.lo
  CC     build/SDL_surface.lo
  CC     build/SDL_video.lo
  CC     build/SDL_vulkan_utils.lo
  CC     build/SDL_nullevents.lo
  CC     build/SDL_nullframebuffer.lo
  CC     build/SDL_nullvideo.lo
  CC     build/SDL_diskaudio.lo
  CC     build/SDL_dummyaudio.lo
  CC     build/SDL_sysloadso.lo
  CC     build/SDL_dspaudio.lo
  CC     build/SDL_alsa_audio.lo
  CC     build/SDL_x11clipboard.lo
  CC     build/SDL_x11dyn.lo
  CC     build/SDL_x11events.lo
  CC     build/SDL_x11framebuffer.lo
  CC     build/SDL_x11keyboard.lo
  CC     build/SDL_x11messagebox.lo
  CC     build/SDL_x11modes.lo
  CC     build/SDL_x11mouse.lo
  CC     build/SDL_x11opengl.lo
  CC     build/SDL_x11opengles.lo
  CC     build/SDL_x11shape.lo
  CC     build/SDL_x11touch.lo
  CC     build/SDL_x11video.lo
  CC     build/SDL_x11vulkan.lo
  CC     build/SDL_x11window.lo
  CC     build/SDL_x11xinput2.lo
  CC     build/edid-parse.lo
  CC     build/imKStoUCS.lo
  CC     build/SDL_dbus.lo
  CC     build/SDL_ime.lo
  CC     build/SDL_systhread.lo
  CC     build/SDL_syssem.lo
  CC     build/SDL_sysmutex.lo
  CC     build/SDL_syscond.lo
  CC     build/SDL_systls.lo
  CC     build/SDL_sysjoystick.lo
  CC     build/SDL_steamcontroller.lo
  CC     build/SDL_syshaptic.lo
  CC     build/SDL_syspower.lo
  CC     build/SDL_sysfilesystem.lo
  CC     build/SDL_systimer.lo
  CC     build/SDL_udev.lo
  CC     build/SDL_evdev.lo
  CC     build/SDL_evdev_kbd.lo
  CC     build/SDL_poll.lo
  LTLINK build/libSDL2.la
  CC     build/SDL_dummy_main.lo
  LTLINK build/libSDL2main.la
  CC     build/SDL_test_assert.lo
  CC     build/SDL_test_common.lo
  CC     build/SDL_test_compare.lo
  CC     build/SDL_test_crc32.lo
  CC     build/SDL_test_font.lo
  CC     build/SDL_test_fuzzer.lo
  CC     build/SDL_test_harness.lo
  CC     build/SDL_test_imageBlit.lo
  CC     build/SDL_test_imageBlitBlend.lo
  CC     build/SDL_test_imageFace.lo
  CC     build/SDL_test_imagePrimitives.lo
  CC     build/SDL_test_imagePrimitivesBlend.lo
  CC     build/SDL_test_log.lo
  CC     build/SDL_test_md5.lo
  CC     build/SDL_test_memory.lo
  CC     build/SDL_test_random.lo
  LTLINK build/libSDL2_test.la
